,stars
0,4.414655940188335
1,4.19214181865593
2,2.8258041417720063
3,3.6648700316386202
4,4.4596058825687885
5,4.494222077192083
6,3.8226956291669874
7,3.75147260600677
8,4.407619502823933
9,3.3391640384567864
10,3.979009613609393
11,3.840420659496388
12,3.7538180851282377
13,4.590538495873385
14,4.0160976998684585
15,3.2945961124181595
16,3.6793221439103307
17,4.080908508556888
18,3.5584540922968158
19,4.665369722423638
20,3.0915921398157984
21,4.353575619574333
22,4.27501082365027
23,4.22470050977448
24,3.912906406925175
25,4.39425119193565
26,4.138097935406329
27,4.211411301684876
28,3.241842618690273
29,3.5863052357145557
30,4.794244832223492
31,4.165374476621616
32,4.353575619574333
33,2.9348658865982054
34,3.241842618690273
35,3.241842618690273
36,3.5584540922968158
37,4.017150780994138
38,4.123181043988592
39,3.5209989276223492
40,3.9943059341887377
41,5.0
42,3.7788282500207346
43,3.284115154121977
44,3.0948609300435788
45,3.2466599894475108
46,3.553636721539579
47,3.6874083048953468
48,3.865430824388885
49,3.9943059341887377
50,3.7316592410331166
51,3.263169605223965
52,3.0948609300435788
53,3.741373085346268
54,3.865430824388885
55,4.31091740779528
56,4.358725109777552
57,3.831453322760244
58,3.2908923276533293
59,3.831453322760244
60,3.689289004870785
61,3.7448507483920936
62,3.831453322760244
63,3.519659219910938
64,3.831453322760244
65,1.8255084256502765
66,3.519659219910938
67,3.7448507483920936
68,3.2078651170616332
69,3.5755068196931328
70,3.882483551785202
71,3.6995645587357497
72,3.258895346086591
73,4.011358661585055
74,3.258895346086591
75,3.14271671206632
76,4.053631197016759
77,3.4840868745677462
78,3.570689448935897
79,3.570689448935897
80,3.212809670658016
81,3.831453322760244
82,3.882483551785202
83,3.395728663707468
84,3.9247560872169043
85,3.570689448935897
86,3.5123691871930873
87,3.824163290042393
88,3.831453322760244
89,3.831453322760244
90,3.3997465486924754
91,3.58333784467501
92,3.570689448935897
93,3.882483551785202
94,3.5852206640062843
95,4.097961235953205
96,3.570689448935897
97,3.570689448935897
98,3.519659219910938
99,3.882483551785202
100,2.606098159151261
101,3.714685616435479
102,3.930163300603482
103,3.3162889392180226
104,3.229686364849872
105,3.0044948363687167
106,3.8435607262353315
107,2.8094684398441765
108,3.3715172142623566
109,3.7861671331039
110,2.904317197650075
111,3.6047941334036846
112,3.3027138748675307
113,3.787713126453137
114,3.4759190236038315
115,3.4759190236038315
116,3.463016262186422
117,3.4330566455427887
118,4.194277654634508
119,3.3877704558864434
120,3.882483551785202
121,3.6995645587357497
122,3.258895346086591
123,3.0856901973502895
124,3.882483551785202
125,3.258895346086591
126,3.7958809774170508
127,3.570689448935897
128,3.9150422429037537
129,3.17229277171844
130,3.570689448935897
131,3.258895346086591
132,3.7126769632960475
133,2.912485048613989
134,3.9247560872169043
135,3.570689448935897
136,3.8873009225424378
137,3.1431326408470355
138,3.640605603998286
139,3.4320027940922637
140,3.7618243729897323
141,3.7667208465456463
142,3.272007750646889
143,3.44521289938319
144,3.3586103250150394
145,3.8533234209137968
146,2.155027558828982
147,3.8089933819773494
148,3.757007002232495
149,4.905730388644993
150,3.229735215215186
151,2.9348658865982054
152,3.489878993976828
153,3.984592089875586
154,3.1188387310981818
155,3.6922256756525833
156,3.831453322760244
157,3.846033388195946
158,3.846033388195946
159,4.157827491045251
160,3.8017033492594994
161,3.534239285346641
162,3.44763671097849
163,3.410181546304024
164,3.410181546304024
165,3.9665646138274235
166,3.4703062949042733
167,3.5117304941984315
168,3.6426631075030302
169,3.422288949779111
170,2.899834533519039
171,3.3848337851046457
172,3.272007750646889
173,3.5886192242534314
174,3.541529318064492
175,3.8122137896641988
176,3.541529318064492
177,3.764663343040903
178,3.8533234209137968
179,3.8533234209137968
180,2.7186375670232854
181,3.960328432560096
182,4.099507229302443
183,3.040194364551057
184,3.189086235281708
185,3.0456799104114674
186,3.486349123060625
187,3.2913563364745135
188,4.092967061666662
189,3.3731415400854274
190,3.648534329710791
191,4.186987621916655
192,3.880010889824587
193,3.483209056321682
194,2.422091704712856
195,2.9868186564046315
196,3.4759190236038315
197,3.795003159170988
198,3.933592113283993
199,3.198897780325488
200,2.887103677476183
201,2.575309574626877
202,2.887103677476183
203,3.476796841849894
204,4.315862731716509
205,2.8511511326465393
206,3.380480423168592
207,3.2938778488004417
208,3.7019100378572167
209,3.8210713033439188
210,4.132865406193224
211,3.7164412529276047
212,3.4815358801332983
213,4.124472671659534
214,3.4586119305292202
215,3.7019100378572167
216,3.6103621395678376
217,4.127920082271994
218,3.600648295254685
219,4.389562544667251
220,3.5140457208865357
221,3.880010889824587
222,4.013704140706522
223,3.298612759253937
224,4.077768441817946
225,3.3382862202107226
226,3.6500803230600285
227,3.6500803230600285
228,3.6104068621032424
229,3.1212625426934824
230,3.701909267532372
231,3.878543228949183
232,3.519659219910938
233,3.658248174023943
234,3.8737258581919463
235,4.185519961041251
236,3.4592801056323936
237,2.8416861771507826
238,2.490379406122266
239,2.883958712582485
240,3.3586103250150394
241,3.541529318064492
242,3.317293940303233
243,4.587315198505854
244,3.4461690501030864
245,3.0574071144001036
246,3.3301183692468084
247,3.9540426306026104
248,4.184051529841002
249,2.613928413808294
250,3.3942121524667503
251,3.825167520802757
252,3.825167520802757
253,4.4091639555234785
254,3.4529943036749073
255,3.019981431834155
256,3.9983726695390587
257,3.738360201446472
258,3.8719213713345058
259,3.0199023290354776
260,2.274392990597674
261,3.3422257727218962
262,3.3422257727218962
263,3.759971035766978
264,3.7828949853710547
265,3.7877123561282913
266,2.901893386054774
267,2.8250046559997752
268,3.4711008825217498
269,2.901893386054774
270,2.713420628522802
271,3.6684719878429117
272,3.3422257727218962
273,3.3522764430170837
274,4.19574377486022
275,3.567754127185088
276,3.9117700951709082
277,2.646487104926845
278,3.7385649464346074
279,3.1391923180110175
280,3.562599930445815
281,4.045462575727998
282,3.692637944427773
283,4.060043411488546
284,3.2286338624303386
285,4.5201100603306426
286,2.5744948484277606
287,3.2894735171432403
288,3.5963711464366312
289,3.821690628081778
290,3.198897780325488
291,3.198897780325488
292,2.841435168977552
293,3.5867364049221564
294,4.179155056285087
295,3.5347795072858226
296,4.719413605673239
297,3.1315654593111293
298,3.361574358549521
299,3.4840868745677462
300,3.028771194716149
301,3.9359856724459297
302,2.8613739558350466
303,3.6588372463284378
304,3.2749717841813712
305,2.9748699263512832
306,4.494222077192083
307,3.2060942401426202
308,4.31130308414263
309,3.5687577792393084
310,3.948093846245862
311,3.948093846245862
312,3.948093846245862
313,3.948093846245862
314,4.328195486585755
315,3.3958103536863655
316,3.601574193541218
317,4.4780952480822975
318,3.521925596233727
319,2.910811102100759
320,2.9441659214864773
321,3.9082932024499284
322,3.6940301625100256
323,3.2894735171432403
324,4.259887949095168
325,3.638722784667012
326,4.084337321237399
327,3.948093846245862
328,3.9772539771172655
329,3.6654598742679605
330,4.2924466402137185
331,3.948093846245862
332,3.500133830554007
333,3.636299743396556
334,3.1147719957478612
335,2.789943050487245
336,2.9631481992235464
337,3.6531420573251383
338,4.304471583385063
339,2.8515313321329896
340,3.46540569351845
341,2.755214913451688
342,3.163325434982295
343,3.992677480535759
344,3.0767228606141455
345,3.0670090163009935
346,2.893803867564693
347,3.594280803318303
348,3.163325434982295
349,4.099507229302443
350,4.1043246000596785
351,4.223564198020214
352,3.825167520802757
353,2.9792742580084846
354,3.5867364049221564
355,3.8348518830073903
356,3.3802219296603893
357,4.521499388732215
358,2.8677887015869854
359,3.382904234763893
360,3.317293940303233
361,4.019574592589438
362,4.111073640513503
363,3.8040969084214344
364,3.790521844070943
365,3.7107941439647742
366,4.848926638142901
367,3.078400164632438
368,4.587315198505854
369,3.839669253764627
370,3.0130770754636558
371,4.114008191939466
372,3.3901159350079113
373,4.392829794245341
374,3.3901159350079113
375,3.6153074634890663
376,3.7019100378572167
377,4.268772055202724
378,3.4759190236038315
379,1.142752548415523
380,3.2382336449753923
381,3.1924855658537
382,3.5117764548830657
383,3.2874160136384956
384,4.439041882188218
385,4.845065418105559
386,3.3901159350079113
387,3.7019100378572167
388,4.013704140706522
389,3.6415309235786735
390,3.3901159350079113
391,3.200447901504634
392,1.9557240134863871
393,3.010267587521004
394,3.7877123561282913
395,3.3002900632722296
396,2.0603540639027
397,2.859620850623071
398,3.4759182532789867
399,3.303513360639761
400,3.5770520427175247
401,3.636299743396556
402,3.5375889952284734
403,3.7675978944668644
404,3.7280852262876536
405,3.366362247198239
406,1.844877150059542
407,3.6145072073919904
408,3.3594873729362567
409,4.277944907251849
410,3.3570938137743216
411,3.5794463722043055
412,3.3385713061467652
413,2.958360310574828
414,3.1495448553188234
415,3.7019100378572167
416,4.013704140706522
417,4.013704140706522
418,3.078321832158606
419,3.584678901417412
420,4.013704140706522
421,3.0547744299867587
422,3.0264921173614177
423,3.563477748691878
424,3.366568532836064
425,3.6500803230600285
426,3.6923528584917307
427,3.366568532836064
428,4.053294371034722
429,3.730270682956391
430,2.688838743157226
431,4.280290386373316
432,3.2160329680255466
433,3.6144296452430034
434,3.178577803351081
435,2.7146980145121113
436,3.563477748691878
437,3.6789845476034477
438,3.200575084343782
439,3.7001055509997762
440,4.131060919335783
441,3.264253709107854
442,3.9252970794809317
443,3.824163290042393
444,2.5841295899422336
445,4.178150825524722
446,3.6096898366347547
447,3.379471294253473
448,2.7329591389507835
449,3.687870194360695
450,3.931089198890014
