0,5,4,86,981,1,1,3,3,0,4,0,12,2,2,0,2,5,4,69,17,1,0,5,6,1,318,3,4,1,4,4,3,1,418,6,0,557,815,0,4,1,4,835,0,0,1007,0,0,1,0,3,1,4,9,7,0,3,1,56,2,1,75,5,5,2,0,0,0,0,0,0,3,1,1,0,9,3,8,4,0
1111,14,4,121,1034,1,1,0,3,0,1,0,11,2,2,0,6,6,5,80,28,1,0,11,13,2,0,3,4,1,2,4,0,2,664,6,0,80,813,0,0,1,4,849,0,0,1020,1,0,1,0,2,1,4,9,7,1,5,1,67,2,2,211,5,5,2,0,0,0,0,48,0,3,2,1,0,8,1,8,4,0
2222,6,5,81,988,1,1,3,3,0,0,0,9,2,2,0,2,6,6,30,42,1,0,11,13,2,0,3,4,1,4,4,3,6,0,6,0,17,30,0,2,1,4,30,0,0,24,0,0,1,0,2,1,4,9,7,0,3,5,82,3,2,99,5,5,2,0,31,0,0,0,0,3,4,1,0,9,2,8,4,0
2834,10,4,106,1335,1,1,3,3,0,4,0,12,2,2,0,5,5,5,66,14,1,0,5,6,2,0,3,4,1,4,4,3,0,361,6,0,475,696,0,2,1,4,711,339,0,320,0,0,1,1,4,1,4,11,7,1,4,1,53,0,2,221,5,5,2,0,143,84,0,0,0,3,4,1,0,9,0,8,4,0
2945,5,4,88,13,1,1,3,3,0,4,0,20,2,2,0,2,7,4,105,53,1,0,11,13,3,388,2,4,2,2,4,3,2,712,6,0,460,139,0,0,1,4,166,0,0,145,1,0,2,0,2,1,2,9,7,0,3,1,92,2,2,286,5,5,2,0,159,0,0,0,0,3,4,1,0,10,3,8,4,2
3056,10,4,121,49,1,1,0,3,0,1,0,20,2,2,0,5,6,6,88,36,1,0,11,13,1,47,3,2,1,2,4,3,5,340,6,0,462,672,0,4,1,4,702,328,0,292,0,0,2,1,3,1,4,10,7,0,3,1,75,2,2,206,5,5,2,0,167,0,0,0,0,3,4,1,0,9,3,8,4,0
3167,0,4,64,740,1,1,3,3,0,4,0,0,2,2,4,2,7,4,107,56,1,0,11,13,1,62,2,4,2,2,4,0,2,208,6,0,101,171,0,0,1,4,180,0,0,159,0,0,2,0,2,1,2,9,7,1,2,1,94,0,2,149,5,5,2,1,51,0,0,0,0,3,4,1,0,10,3,8,4,2
3278,5,4,121,1427,1,1,0,3,0,0,0,12,2,2,0,2,5,6,61,56,1,0,12,14,2,0,3,2,1,4,4,3,0,628,5,65,768,52,0,0,1,4,228,0,0,207,1,0,1,0,3,1,2,11,7,1,2,5,86,0,2,306,5,5,2,221,58,0,0,44,0,3,4,1,0,5,4,8,4,0
3389,5,4,106,30,1,1,3,3,0,4,0,8,2,2,0,2,7,4,92,40,1,0,5,6,2,0,3,4,2,2,4,1,2,566,6,0,715,224,0,2,1,4,262,0,0,246,1,0,1,1,2,1,2,9,7,1,4,1,79,3,2,245,5,5,2,84,0,0,0,0,0,3,4,1,0,4,4,8,4,2
1,5,4,81,242,1,1,3,3,0,4,0,12,2,2,0,2,5,8,55,56,1,0,11,8,2,0,3,0,1,4,4,3,1,399,6,0,553,799,0,2,1,4,131,0,0,113,0,0,1,1,3,1,0,10,7,0,3,5,51,3,1,109,5,5,2,294,0,0,0,0,0,3,4,1,0,9,1,8,4,0
112,0,1,121,832,1,1,0,3,0,4,0,21,2,2,4,2,9,4,102,50,3,0,7,8,1,151,2,4,2,2,4,0,2,14,6,0,658,409,0,0,1,4,459,0,0,474,1,0,2,0,2,1,0,9,7,1,5,1,89,0,2,235,5,5,2,117,192,0,0,0,0,3,4,1,0,9,2,8,4,2
