index,stars
0,3.977083071704179
1,4.431034652135264
2,3.7889145208952706
3,3.4165035737056146
4,2.2920564628653475
5,4.380976813567387
6,4.2082257370738825
7,3.682752346533518
8,4.177266198339742
9,4.908885256416497
10,4.32916777123973
11,3.2312699676299923
12,3.45784863172971
13,4.605346320288797
14,3.6815025840488182
15,4.126769450699491
16,3.2594026378095484
17,3.7220086863748305
18,2.7019154004554142
19,3.908737052911623
20,5.0
21,3.2577069188643675
22,3.508667036528693
23,4.267385539359033
24,3.2796210047134733
25,4.0475033980710435
26,4.456642239632305
27,4.596091205949659
28,3.369628293742485
29,4.784668211829892
30,4.50967785683697
31,4.2825670012781245
32,3.9990649703180927
33,2.9620704938149327
34,4.856036248143795
35,3.8687958958035726
36,2.483996171463886
37,3.7313747143770275
38,4.552696357200437
39,3.025736709330882
40,3.9163146955062365
41,4.659445799168531
42,3.9707562523711335
43,4.010384831662885
44,4.009963771355767
45,4.00834577625433
46,2.8362295343952226
47,5.0
48,3.5073303008844996
49,4.091273105544118
50,2.6246909601188846
51,3.7343585009441176
52,4.007837851641637
53,2.9133594227656614
54,5.0
55,4.184449300218745
56,3.4331921689655016
57,3.8192653458372825
58,3.6083440679606475
59,4.317697353600112
60,4.142659853924225
61,3.982195164432445
62,3.6739162735486026
63,4.755007278808612
64,3.7040503763141057
65,3.4995015956258837
66,2.1956748116137352
67,4.598329018279018
68,3.1119010428978737
69,4.311759212853795
70,3.0446702217725368
71,5.0
72,3.966560550160992
73,3.675822321389544
74,3.337505450237371
75,3.79953704768826
76,4.442871155537304
77,3.411160196789927
78,4.279708973070162
79,4.186260489201949
80,3.776826271085314
81,2.728903743702535
82,4.888682445568428
83,3.969273219517015
84,4.08163889937196
85,3.7786304085739233
86,4.91448445751337
87,3.4731018328654044
88,5.0
89,3.077205857527903
90,3.3254771287765714
91,4.412596626235802
92,2.3759857198477974
93,4.166886557280766
94,3.470474203520268
95,3.124106753753769
96,2.649218756223788
97,4.0583811337382105
98,4.6842669109410515
99,3.4619311210148522
100,4.132801929000303
101,4.049578540856995
102,4.034279613117436
103,4.2621457049020455
104,4.025125068456134
105,4.0160437893064955
106,4.893388661217223
